Entity,Code,Year,Number of Internet users
Afghanistan,AFG,1990,0
Afghanistan,AFG,1991,0
Afghanistan,AFG,1992,0
Afghanistan,AFG,1993,0
Afghanistan,AFG,1994,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,2001,930
Afghanistan,AFG,2002,958
Afghanistan,AFG,2003,19903
Afghanistan,AFG,2004,24922
Afghanistan,AFG,2005,298829
Afghanistan,AFG,2006,536114
Afghanistan,AFG,2007,492163
Afghanistan,AFG,2008,486261
Afghanistan,AFG,2009,972178
Afghanistan,AFG,2010,1127587
Afghanistan,AFG,2011,1462458
Afghanistan,AFG,2012,1661808
Afghanistan,AFG,2013,1860932
Afghanistan,AFG,2014,2290135
Afghanistan,AFG,2015,2788039
Afghanistan,AFG,2016,3809983
Afghanistan,AFG,2017,4811862
Afghanistan,AFG,2018,6163380
Afghanistan,AFG,2019,6647431
Afghanistan,AFG,2020,7170891
Australia,AUS,1990,99747
Australia,AUS,1991,189499
Australia,AUS,1992,308871
Australia,AUS,1993,348154
Australia,AUS,1994,397437
Australia,AUS,1995,496821
Australia,AUS,1996,596484
Australia,AUS,1997,3013640
Australia,AUS,1998,5731776
Australia,AUS,1999,7667715
Australia,AUS,2000,8892063
Australia,AUS,2001,10141707
Australia,AUS,2005,12708191
Australia,AUS,2006,13508241
Australia,AUS,2007,14467012
Australia,AUS,2008,15228352
Australia,AUS,2009,16083217
Australia,AUS,2010,16734566
Australia,AUS,2011,17771091
Australia,AUS,2012,17956125
Australia,AUS,2013,19287596
Australia,AUS,2014,19714446
Australia,AUS,2015,20142518
Australia,AUS,2016,20938964
Australia,AUS,2017,21281719
Australia,AUS,2018,21881803
Australia,AUS,2019,22466450
Australia,AUS,2020,23000366
Canada,CAN,1990,99842
Canada,CAN,1991,159798
Canada,CAN,1992,259659
Canada,CAN,1993,339591
Canada,CAN,1994,689374
Canada,CAN,1995,1219473
Canada,CAN,1996,2000616
Canada,CAN,1997,4504035
Canada,CAN,1998,7505275
Canada,CAN,1999,11000597
Canada,CAN,2000,15740541
Canada,CAN,2001,18663667
Canada,CAN,2002,19292500
Canada,CAN,2003,20299690
Canada,CAN,2004,21047649
Canada,CAN,2005,23085925
Canada,CAN,2006,23553070
Canada,CAN,2007,24055318
Canada,CAN,2008,25478621
Canada,CAN,2009,26975919
Canada,CAN,2010,27272624
Canada,CAN,2011,28488535
Canada,CAN,2012,28794257
Canada,CAN,2013,30084652
Canada,CAN,2014,30844502
Canada,CAN,2015,32158908
Canada,CAN,2016,32921097
Canada,CAN,2017,33886378
Canada,CAN,2018,35050170
Canada,CAN,2019,36209294
Canada,CAN,2020,36740677
